,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,225
Dense*1,0.05672296,0.068821,0.0720779,0.0353646,0.16190441,0.01349146,0.01004303,0.0346694,0.07989081,0.0364963,0.13436474,0.00388737,0.07824475,0.01132045,0.03239555,0.04221577,0.02375604,0.04704233
Dense*2,0.05483195,0.05080474,0.06708522,0.0121823,0.04004019,0.0818684,0.00883114,0.0496451,0.02421631,0.07802448,0.02994075,0.03141553,0.06016709,0.067192,0.14084207,0.08431898,0.04616482,0.037292
Dense*3,0.09286684,0.04457301,0.01272943,0.09218946,0.08345509,0.24544112,0.09036193,0.05249934,0.06713798,0.17281218,0.03183021,0.12636349,0.09596465,0.19565364,0.06765672,0.07365589,0.13197618,0.03856464
