,1000,2500,5000,10000,17420
BiLSTM*1,0.47768747,0.24443452,0.83501728,0.16950968,0.36884026
BiLSTM*2,0.70449909,0.50154743,0.50653709,0.29132962,0.21719711
BiLSTM*3,0.67970937,0.47051227,0.50556615,0.2813716,0.21496586
batchsize,256,1024,2048,4096,8192
len(train),400,1900,4400,9400,16820
