,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,225
Dense*1,0.03727885,0.06515386,0.03896898,0.02221106,0.0447343,0.00728743,0.01084391,0.01200685,0.05096584,0.01889272,0.02082076,0.00496283,0.10466878,0.00770716,0.01629429,0.04460268,0.04069362,0.04933324
Dense*2,0.08883457,0.05110854,0.10910278,0.00858689,0.11098143,0.11244032,0.00794356,0.07183585,0.01544604,0.07609483,0.0475598,0.07476123,0.08412566,0.14073022,0.13786504,0.08520158,0.04336011,0.05904978
Dense*3,0.24981917,0.05079102,0.05483089,0.24137856,0.20073298,0.15681146,0.1219817,0.07395932,0.14983507,0.38091462,0.04439741,0.21609576,0.11497791,0.27179414,0.04762042,0.02789319,0.17950311,0.0834109
