,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,225
Dense*1,0.14728298,0.0872052,0.02564897,0.0267883,0.07327474,0.02074299,0.01591376,0.02691555,0.07853239,0.15282555,0.12454205,0.02265815,0.01205175,0.14849148,0.00835549,0.07194005,0.09151767,0.08627498
Dense*2,0.11724229,0.24492785,0.41351682,0.04363112,0.08931283,0.0657653,0.04453824,0.04913218,0.07964182,0.12878801,0.07445805,0.08719889,0.03297862,0.1071135,0.1178781,0.0406606,0.09650312,0.04901281
Dense*3,0.40391058,0.03317237,0.2790502,0.23759331,0.21385505,0.20241531,0.0387242,0.00500458,0.10910614,0.12394884,0.15259719,0.25128733,0.14265033,0.03416921,0.13488917,0.06569103,0.11970318,0.1340591
