,1000,2500,5000,10000,17420
GRU*1,0.6260807,0.38808935,0.598283,0.23743418,0.25789544
GRU*2,0.7807347,0.62364089,0.34367145,0.43414517,0.20830762
GRU*3,0.76096445,0.599917,0.30503692,0.41746895,0.21343949
batchsize,256,1024,2048,4096,8192
len(train),400,1900,4400,9400,16820
