,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,225
Dense*1,0.1510285,0.09405395,0.02185809,0.01985225,0.0812014,0.01694844,0.07012572,0.01370492,0.04890486,0.07730987,0.10622225,0.01031007,0.01385149,0.0508583,0.0033567,0.04144845,0.08324125,0.10525735
Dense*2,0.09731859,0.10639757,0.27935155,0.0140846,0.05665061,0.03421677,0.03953067,0.05215644,0.08422956,0.09504974,0.14112051,0.04725319,0.2043962,0.07368186,0.16673921,0.05069907,0.13168062,0.10145854
Dense*3,0.27174932,0.05832878,0.25937175,0.17821789,0.29391185,0.14880294,0.03588274,0.00408739,0.14557344,0.15630285,0.32369548,0.29877789,0.34140268,0.1018878,0.19238374,0.12412316,0.20047803,0.23880115
